duration,avgSpeed,heightDiff,grndDist,totDist,angleVar,distDiff,resolution,fx,fy,fz,previousCluster,annotation
1622,50.037,403.02,7.0949,7.4741,0.28316,0.37922,0.29593,0,0,0,'diving','flying'
1829,40.487,15.283,8.2895,8.4841,0.16551,0.19462,0.19683,6.25,3.75,6.25,'badCluster','flying'
1239,30.61,21.584,3.7882,3.8301,0.32369,0.041902,0.24213,3.125,3.4375,3.125,'unknown','flying'
1290,44.425,4.6535,0.39107,1.4578,0.31761,1.0667,0.23256,6.5625,3.4375,6.5625,'flying','diving'
3037,12.67,17.608,1.6345,2.087,0.27587,0.45243,0.19756,0,0,1.25,'diving','diving'
1022,33.169,32.958,1.6762,2.6389,1.6488,0.96264,2.0548,0,0,1.25,'badCluster','diving'
3334,36.534,29.453,2.2295,8.8601,1.8429,6.6305,2.3395,6.875,3.4375,6.875,'diving','diving'
1516,39.295,49.878,4.6387,6.0815,0.87056,1.4427,2.2559,0,3.125,6.25,'diving','diving'
4304,42.476,77.766,1.4522,14.906,1.4744,13.454,2.9833,6.5625,3.4375,6.5625,'diving','diving'
1198,44.923,45.144,3.1654,4.8259,0.97059,1.6605,1.9032,9.375,7.1875,8.125,'diving','flying'
1889,48.019,39.42,9.399,9.596,0.33815,0.19708,2.0011,0,3.125,6.5625,'flying','flying'
1310,21.665,7.2207,1.5442,2.2663,0.46595,0.72211,0.36641,0,0,1.25,'unknown','diving'
2239,28.618,83.809,0.82798,2.5423,0.61793,1.7143,0.26798,6.5625,3.4375,6.5625,'diving','diving'
2370,32.3,7.684,4.8764,6.3341,0.22498,1.4577,0.22785,0,0,1.25,'diving','flying'
1525,6.6886,11.193,0.99879,1.2155,0.12171,0.21667,0.23607,0,0,1.25,'flying','floating'
1797,8.3074,11.729,1.5665,1.6366,0.19996,0.070134,0.23372,8.75,3.75,8.75,'floating','floating'
1629,18.28,19.932,0.53866,2.1714,0.77282,1.6327,0.62615,6.25,3.125,6.25,'unknown','diving'
2424,1.0001,165.01,0.043286,0.066108,1.038,0.022821,0.59406,0,0,1.25,'diving','floating'
3744,9.6075,3.2716,1.8807,3.0998,0.38802,1.2191,0.51282,0,0,1.25,'unknown','floating'
3888,1.1029,4.2402,0.0039,0.029795,0.61696,0.025895,0.54012,0,0,1.25,'unknown','floating'
7713,33.276,74.983,22.998,25.681,0.73749,2.6834,0.7079,6.25,3.75,6.25,'unknown','flying'
5165,2.2394,20.447,0.96046,1.1934,2.3709,0.23298,1.2081,0,0,2.1875,'unknown','floating'
1415,33.046,22.701,3.3803,4.0688,0.75581,0.68853,0.80565,6.5625,3.125,6.5625,'unknown','flying'
1023,0.65365,40.628,0.00266,0.010215,2.2348,0.007555,0.64516,0,0,1.25,'flying','floating'
954,47.043,49.881,4.1038,4.3797,0.62098,0.27589,1.2579,3.125,3.4375,3.125,'floating','flying'
3970,38.961,5.1627,0.50865,10.753,1.8349,10.245,2.0554,6.5625,3.4375,6.5625,'flying','diving'
1068,47.17,139.21,3.1939,4.3317,1.2537,1.1378,1.1798,6.5625,3.125,3.125,'diving','flying'
1842,36.856,123.11,0.8334,5.014,2.509,4.1806,1.4007,6.5625,3.4375,6.5625,'flying','diving'
1565,47.566,87.459,3.9228,5.5834,1.6621,1.6607,0.88179,0,0,3.4375,'diving','diving'
1846,6.9553,5.6682,0.26898,0.45853,0.27992,0.18954,0.22752,?,?,?,'unknown','floating'
15717,0.84507,18.096,0.16408,0.27773,0.29372,0.11366,0.20615,?,?,?,'badCluster','floating'
14614,0.82952,8.64,0.018109,0.11172,0.27231,0.093612,0.20528,?,?,?,'unknown','floating'
1326,25.598,4.0637,2.7717,2.8546,0.16349,0.082911,0.22624,?,?,?,'unknown','flying'
15915,0.58392,1.4882,0.033397,0.094331,0.21674,0.060933,0.20358,?,?,?,'unknown','floating'
21918,0.64132,3.4758,0.046421,0.13524,0.26283,0.088815,0.20257,?,?,?,'unknown','floating'
1762,33.113,6.8487,3.0709,3.9624,0.17882,0.89146,0.23836,?,?,?,'unknown','flying'
24700,0.63035,3.643,0.30355,0.47559,0.20038,0.17204,0.20162,?,?,?,'badCluster','floating'
25506,0.59305,9.7927,0.24304,0.52757,0.26962,0.28452,0.20466,?,?,?,'unknown','floating'
1457,34.747,5.0637,1.9283,2.7613,0.30511,0.83293,0.24708,?,?,?,'unknown','flying'
22030,0.62626,10.09,0.055463,0.35349,0.25814,0.29803,0.20699,?,?,?,'flying','floating'
2057,41.999,5.1561,3.4557,7.0793,0.15233,3.6237,0.23335,?,?,?,'unknown','flying'
21029,1.7657,8.7757,1.0794,1.6579,0.23449,0.57845,0.20543,?,?,?,'flying','floating'
2883,25.883,11.083,3.4946,6.7261,0.19775,3.2314,0.22893,?,?,?,'unknown','flying'
1825,35.314,7.2027,5.2595,5.8837,0.19475,0.62414,0.23014,?,?,?,'unknown','flying'
1166,50.515,5.0608,5.9519,6.0846,0.090642,0.13276,0.25729,?,?,?,'unknown','flying'
20581,2.1198,0.12443,0.53006,0.93294,0.30631,0.40288,0.20116,?,?,?,'flying','floating'
22509,0.83221,22.822,0.48075,0.63486,0.24481,0.1541,0.20525,?,?,?,'unknown','floating'
11720,0.69638,2.4031,0.036592,0.12006,0.25989,0.083466,0.20478,?,?,?,'unknown','floating'
3255,27.241,2.1308,4.6612,8.1902,0.14998,3.529,0.2212,?,?,?,'unknown','flying'
880,31.557,12.846,0.33381,0.88188,0.15719,0.54807,0.27273,?,?,?,'flying','diving'
